date,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s),site number,site name
20/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5345,Sector-51
21/01/20,127.66,,57.4,52.64,71.8,,7.04,1.71,35.5,1.99,6.01,3.02,,3.01,3.97,,81.63,0.6,188.23,,0.0,93.63,786.85,-0.22,146,Vikas Sadan
21/01/20,134.0,222.79,7.89,9.87,17.76,,,1.56,25.58,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
21/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5344,Teri Gram
21/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5345,Sector-51
22/01/20,124.28,,76.65,43.87,81.89,,7.02,1.98,32.9,1.99,6.0,2.98,,2.99,4.01,,89.15,0.81,261.96,,0.0,79.21,790.65,-0.23,146,Vikas Sadan
22/01/20,129.53,207.48,29.66,24.46,54.12,,,2.27,20.99,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
22/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5344,Teri Gram
22/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5345,Sector-51
23/01/20,62.08,,2.65,40.09,20.11,,7.61,0.7,56.9,1.99,6.02,3.0,,3.0,4.01,,67.01,1.25,281.06,,0.0,96.8,787.84,-0.15,146,Vikas Sadan
23/01/20,49.16,91.76,13.55,16.9,30.45,,,1.01,35.16,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
23/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5344,Teri Gram
23/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5345,Sector-51
24/01/20,57.21,,3.73,47.39,25.11,,8.37,0.89,68.03,2.01,6.02,2.99,,2.99,4.01,,58.32,1.17,257.01,,0.0,94.68,784.16,-0.17,146,Vikas Sadan
24/01/20,47.94,96.25,6.48,12.52,19.0,,,1.13,43.45,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
24/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5344,Teri Gram
24/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5345,Sector-51
25/01/20,91.31,,90.14,56.99,96.92,,9.62,1.87,51.88,2.0,6.0,3.0,,3.0,3.98,,71.96,0.8,224.41,,0.0,100.82,784.24,-0.23,146,Vikas Sadan
25/01/20,82.7,164.43,8.24,19.52,27.76,,,1.66,32.26,,,,,,,,,,,,0.0,,,,5025,NISE Gwal Pahari
25/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5344,Teri Gram
25/01/20,,,,,,,,,,,,,,,,,,,,,0.0,,,,5345,Sector-51
